Başlangıç Tarihi,Bitiş Tarihi,kod,renk,model,100cm,100cm camlı,90cm,90cm camlı
2024-07-05,2024-07-12,820,ardahan gri,baklava,28.0,,3.0,3.0
2024-07-05,2024-07-12,830,ardahan gri,karışık çizgi,,,10.0,
2024-07-05,2024-07-12,840,,,,,,
2024-07-05,2024-07-12,860,ardahan gri,iki göbek,10.0,1.0,3.0,4.0
2024-07-05,2024-07-12,900,pvc gri,yavru kanat,,,,
2024-07-05,2024-07-12,920,pvc gri,baklava,33.0,3.0,4.0,2.0
2024-07-05,2024-07-12,930,pvc gri,karışık çizgi,53.0,1.0,7.0,1.0
2024-07-05,2024-07-12,960,pvc gri,iki göbek,30.0,1.0,3.0,3.0
2024-07-12,2024-07-19,100,italyan ceviz,yavru kanat,,,,
2024-07-12,2024-07-19,110,italyan ceviz,madra,23.0,1.0,4.0,6.0
2024-07-12,2024-07-19,120,italyan ceviz,baklava,6.0,,,
2024-07-12,2024-07-19,130,italyan ceviz,karışık çizgi,22.0,3.0,1.0,1.0
2024-07-12,2024-07-19,140,,,,,,
2024-07-12,2024-07-19,160,italyan ceviz,iki göbek,65.0,3.0,11.0,
2024-07-12,2024-07-19,200,koyu ceviz,yavru kanat,,,,
2024-07-12,2024-07-19,220,koyu ceviz,baklava,2.0,,,
2024-07-12,2024-07-19,230,koyu ceviz,karışık çizgi,4.0,1.0,,1.0
2024-07-12,2024-07-19,240,,,,,,
2024-07-12,2024-07-19,260,koyu ceviz,iki göbek,1.0,,,
2024-07-12,2024-07-19,300,gold ceviz,yavru kanat,,,,
2024-07-12,2024-07-19,310,gold ceviz,madra,14.0,,,
2024-07-12,2024-07-19,320,gold ceviz,baklava,16.0,,5.0,5.0
2024-07-12,2024-07-19,330,gold ceviz,karışık çizgi,3.0,,,
2024-07-12,2024-07-19,340,,,,,,
2024-07-12,2024-07-19,360,gold ceviz,iki göbek,24.0,1.0,3.0,1.0
2024-07-12,2024-07-19,400,ABD ceviz,yavru kanat,,,,
2024-07-12,2024-07-19,410,ABD ceviz,madra,,,,
2024-07-12,2024-07-19,420,ABD ceviz,baklava,5.0,,2.0,1.0
2024-07-12,2024-07-19,430,ABD ceviz,karışık çizgi,,,,
2024-07-12,2024-07-19,440,,,,,,
2024-07-12,2024-07-19,460,ABD ceviz,iki göbek,6.0,1.0,,
2024-07-12,2024-07-19,500,wenge,yavru kanat,,,,
2024-07-12,2024-07-19,520,wenge,baklava,4.0,,,
2024-07-12,2024-07-19,530,wenge,karışık çizgi,2.0,,,
2024-07-12,2024-07-19,540,,,,,,
2024-07-12,2024-07-19,560,wenge,iki göbek,1.0,,,
2024-07-12,2024-07-19,600,bute beyaz,yavru kanat,,,,
2024-07-12,2024-07-19,610,bute beyaz,madra,1.0,,,3.0
2024-07-12,2024-07-19,620,bute beyaz,baklava,9.0,,4.0,1.0
2024-07-12,2024-07-19,630,bute beyaz,karışık çizgi,47.0,,19.0,8.0
2024-07-12,2024-07-19,640,,,4.0,,,3.0
2024-07-12,2024-07-19,660,bute beyaz,iki göbek,192.0,17.0,,60.0
2024-07-12,2024-07-19,700,küp akça,yavru kanat,,,,
2024-07-12,2024-07-19,720,küp akça,baklava,3.0,,,2.0
2024-07-12,2024-07-19,730,küp akça,karışık çizgi,22.0,3.0,4.0,6.0
2024-07-12,2024-07-19,740,,,,1.0,,
2024-07-12,2024-07-19,760,küp akça,iki göbek,14.0,2.0,,
2024-07-12,2024-07-19,800,ardahan gri,yavru kanat,,,,
2024-07-12,2024-07-19,810,ardahan gri,madra,29.0,3.0,9.0,4.0
2024-07-12,2024-07-19,820,ardahan gri,baklava,,,,1.0
2024-07-12,2024-07-19,830,ardahan gri,karışık çizgi,,,,
2024-07-12,2024-07-19,840,,,,,,
2024-07-12,2024-07-19,860,ardahan gri,iki göbek,4.0,,6.0,
2024-07-12,2024-07-19,900,pvc gri,yavru kanat,,,,
2024-07-12,2024-07-19,920,pvc gri,baklava,8.0,,3.0,1.0
2024-07-12,2024-07-19,930,pvc gri,karışık çizgi,60.0,2.0,7.0,9.0
2024-07-12,2024-07-19,960,pvc gri,iki göbek,,,,
2024-07-19,2024-07-26,100,italyan ceviz,yavru kanat,,,,
2024-07-19,2024-07-26,110,italyan ceviz,madra,33.0,2.0,7.0,1.0
2024-07-19,2024-07-26,120,italyan ceviz,baklava,15.0,,2.0,2.0
2024-07-19,2024-07-26,130,italyan ceviz,karışık çizgi,39.0,1.0,3.0,2.0
2024-07-19,2024-07-26,140,,,1.0,,,
2024-07-19,2024-07-26,160,italyan ceviz,iki göbek,,,,
2024-07-19,2024-07-26,200,koyu ceviz,yavru kanat,,,,
2024-07-19,2024-07-26,220,koyu ceviz,baklava,,,,
